second,cpu-cpu_percent[0],cpu-iowtime[1],cpu-cpu_frequency[2],cpu-null[3],cpu-null[4],cpu-null[5],cpu0-cpu_percent[0],cpu0-iowtime[1],cpu0-cpu_frequency[2],cpu0-null[3],cpu0-null[4],cpu0-null[5],cpu1-cpu_percent[0],cpu1-iowtime[1],cpu1-cpu_frequency[2],cpu1-null[3],cpu1-null[4],cpu1-null[5],cpu2-cpu_percent[0],cpu2-iowtime[1],cpu2-cpu_frequency[2],cpu2-null[3],cpu2-null[4],cpu2-null[5],cpu3-cpu_percent[0],cpu3-iowtime[1],cpu3-cpu_frequency[2],cpu3-null[3],cpu3-null[4],cpu3-null[5],cpu4-cpu_percent[0],cpu4-iowtime[1],cpu4-cpu_frequency[2],cpu4-null[3],cpu4-null[4],cpu4-null[5],cpu5-cpu_percent[0],cpu5-iowtime[1],cpu5-cpu_frequency[2],cpu5-null[3],cpu5-null[4],cpu5-null[5],cpu6-cpu_percent[0],cpu6-iowtime[1],cpu6-cpu_frequency[2],cpu6-null[3],cpu6-null[4],cpu6-null[5],cpu7-cpu_percent[0],cpu7-iowtime[1],cpu7-cpu_frequency[2],cpu7-null[3],cpu7-null[4],cpu7-null[5],irqs,ctxt,processes,procs_running,procs_blocked,totalram,freeram,cached,Reserve01,Reserve02,Reserve03,Reserve04,Reserve05,Reserve06
11-26 15:33:52.332< 2522.594565>,70,0,0,0,0,0,78,0,1200000,0,0,0,76,0,1200000,0,0,0,63,0,1200000,0,0,0,59,0,1200000,0,0,0,100,0,1600000,0,0,0,97,0,1600000,0,0,0,69,0,1600000,0,0,0,18,0,1600000,0,0,0,0,0,21516,9,0,2954296,2086816,1093576,0,0,0,0,0,0
11-26 15:33:53.335< 2523.597293>,43,0,0,0,0,0,60,0,1200000,0,0,0,68,0,1200000,0,0,0,42,0,1200000,0,0,0,37,0,1200000,0,0,0,64,0,1600000,0,0,0,38,0,1600000,0,0,0,39,0,1600000,0,0,0,0,0,1600000,0,0,0,6895,9078,21522,7,0,2954296,2076460,1097720,0,0,0,0,0,0
11-26 15:33:54.341< 2524.603172>,14,0,0,0,0,0,25,0,1200000,0,0,0,19,0,1200000,0,0,0,16,0,1200000,0,0,0,11,0,1200000,0,0,0,35,0,1600000,0,0,0,3,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,21524,3,0,2954296,2076124,1100436,0,0,0,0,0,0
11-26 15:33:55.343< 2525.605199>,25,0,0,0,0,0,47,0,1200000,0,0,0,36,1,1200000,0,0,0,29,0,1200000,0,0,0,23,0,1200000,0,0,0,43,0,1600000,0,0,0,21,0,1600000,0,0,0,3,0,1600000,0,0,0,1,0,1600000,0,0,0,8156,10506,21529,2,0,2954296,2070516,1104864,0,0,0,0,0,0
11-26 15:33:56.345< 2526.607278>,17,0,0,0,0,0,38,0,1200000,0,0,0,27,0,1200000,0,0,0,25,0,1200000,0,0,0,20,0,1200000,0,0,0,20,0,1600000,0,0,0,4,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,21530,1,0,2954296,2070680,1107540,0,0,0,0,0,0
11-26 15:33:57.347< 2527.609313>,20,0,0,0,0,0,39,0,1200000,0,0,0,33,0,1200000,0,0,0,26,0,1200000,0,0,0,21,0,1200000,0,0,0,26,0,1600000,0,0,0,7,0,1600000,0,0,0,4,0,1600000,0,0,0,0,0,1600000,0,0,0,6976,9150,21534,1,0,2954296,2072356,1110780,0,0,0,0,0,0
11-26 15:33:58.349< 2528.611343>,23,0,0,0,0,0,54,0,1200000,0,0,0,45,0,1200000,0,0,0,35,0,1200000,0,0,0,27,0,1200000,0,0,0,11,0,1600000,0,0,0,14,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,1600000,0,0,0,0,0,21536,1,0,2954296,2071144,1113364,0,0,0,0,0,0
11-26 15:33:59.351< 2529.613313>,19,0,0,0,0,0,46,0,768000,0,0,0,35,0,768000,0,0,0,29,0,768000,0,0,0,24,0,768000,0,0,0,15,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,7147,9357,21541,1,0,2954296,2073288,1116004,0,0,0,0,0,0
11-26 15:34:0.355< 2530.617845>,24,0,0,0,0,0,53,0,1200000,0,0,0,47,0,1200000,0,0,0,37,0,1200000,0,0,0,38,0,1200000,0,0,0,8,0,768000,0,0,0,8,0,768000,0,0,0,2,0,768000,0,0,0,1,0,768000,0,0,0,0,0,21542,3,0,2954296,2074948,1118536,0,0,0,0,0,0
11-26 15:34:1.358< 2531.620676>,3,0,0,0,0,0,11,0,768000,0,0,0,6,0,768000,0,0,0,2,0,768000,0,0,0,4,0,768000,0,0,0,1,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,1179,1015,21543,1,0,2954296,2079868,1121088,0,0,0,0,0,0
11-26 15:34:2.361< 2532.623551>,7,0,0,0,0,0,23,0,768000,0,0,0,14,0,768000,0,0,0,9,0,768000,0,0,0,6,0,768000,0,0,0,2,0,768000,0,0,0,0,0,768000,0,0,0,1,0,768000,0,0,0,0,0,768000,0,0,0,0,0,21544,1,0,2954296,2079896,1123596,0,0,0,0,0,0
11-26 15:34:3.364< 2533.626518>,23,0,0,0,0,0,46,0,1000000,0,0,0,36,0,1000000,0,0,0,33,0,884000,0,0,0,33,0,884000,0,0,0,21,0,768000,0,0,0,13,0,768000,0,0,0,6,0,768000,0,0,0,0,0,768000,0,0,0,6104,8215,21544,3,0,2954296,2080336,1126264,0,0,0,0,0,0
11-26 15:34:4.367< 2534.629471>,33,0,0,0,0,0,64,0,1200000,0,0,0,61,0,1200000,0,0,0,54,0,1200000,0,0,0,49,0,1200000,0,0,0,21,0,1600000,0,0,0,13,0,1600000,0,0,0,0,0,1600000,0,0,0,3,0,1600000,0,0,0,0,0,21544,14,0,2954296,2078620,1128688,0,0,0,0,0,0
11-26 15:34:5.369< 2535.631569>,40,0,0,0,0,0,69,0,768000,0,0,0,63,0,768000,0,0,0,56,0,768000,0,0,0,50,0,768000,0,0,0,39,0,1600000,0,0,0,27,0,1600000,0,0,0,9,0,1600000,0,0,0,5,0,1600000,0,0,0,8505,12315,21544,3,0,2954296,2071408,1131324,0,0,0,0,0,0
11-26 15:34:6.373< 2536.635959>,37,0,0,0,0,0,59,0,1200000,0,0,0,52,0,1200000,0,0,0,41,0,1200000,0,0,0,38,0,1200000,0,0,0,78,0,1600000,0,0,0,21,0,1600000,0,0,0,4,0,1600000,0,0,0,4,0,1600000,0,0,0,0,0,21545,3,0,2954296,2067468,1133896,0,0,0,0,0,0
11-26 15:34:7.376< 2537.638915>,22,0,0,0,0,0,45,1,1200000,0,0,0,42,0,1200000,0,0,0,30,0,1200000,0,0,0,28,0,1200000,0,0,0,22,0,768000,0,0,0,8,0,768000,0,0,0,0,0,768000,0,0,0,0,0,768000,0,0,0,7249,9345,21550,3,0,2954296,2071096,1136452,0,0,0,0,0,0
11-26 15:34:8.379< 2538.641170>,13,0,0,0,0,0,26,0,1200000,0,0,0,25,0,1200000,0,0,0,15,0,1200000,0,0,0,12,0,1200000,0,0,0,15,0,1600000,0,0,0,9,0,1600000,0,0,0,2,0,1600000,0,0,0,1,0,1600000,0,0,0,0,0,21573,3,0,2954296,2066296,1141212,0,0,0,0,0,0
11-26 15:34:9.381< 2539.643693>,42,1,0,0,0,0,48,1,1200000,0,0,0,38,1,1200000,0,0,0,29,1,1200000,0,0,0,26,0,1200000,0,0,0,81,3,1600000,0,0,0,57,2,1600000,0,0,0,26,1,1600000,0,0,0,25,1,1600000,0,0,0,11433,14462,21612,2,0,2954296,2055052,1155432,0,0,0,0,0,0
